category,type,difficulty,question,correct_answer,incorrect_answers
"Science &amp; Nature","multiple","hard","What is the scientific name of the red fox?","Vulpes Vulpes","Vulpes Redus|Red Fox|Vulpes Vulpie"
"Entertainment: Music","multiple","medium","Which of these languages was NOT included in the 2016 song &quot;Don&#039;t Mind&quot; by Kent Jones?","Portuguese","Japanese|French|Spanish"
"Entertainment: Board Games","multiple","hard","What Magic: The Gathering card&#039;s flavor text is just &#039;Ribbit.&#039;?","Turn to Frog","Spore Frog|Bloated Toad|Frogmite"
"Entertainment: Video Games","multiple","medium","Which of these is not a DLC vehicle in &quot;Mario Kart 8&quot;?","Wild Wiggler","Bone Rattler|B Dasher|300 SL Roadster"
"Science: Computers","multiple","medium","Which coding language was the #1 programming language in terms of usage on GitHub in 2015?","JavaScript","C#|Python|PHP"
"Entertainment: Music","multiple","medium","African-American performer Sammy Davis Jr. was known for losing which part of his body in a car accident?","Left Eye","Right Ear|Right Middle Finger|Nose"
"Entertainment: Cartoon &amp; Animations","multiple","hard","Which cartoon family lives in 31 Spooner Street, Quahog, Rhode Island USA?","The Griffins","The Simpsons|The Jetsons|The Hills"
"Science &amp; Nature","boolean","easy","All planets in the Solar System orbit the Sun.","True","False"
"Entertainment: Television","multiple","medium","What is the title of The Allman Brothers Band instrumental used as the theme to the BBC motoring show, &#039;Top Gear&#039;?","Jessica","Angela|Erica|Sandra"
"Animals","boolean","easy","A flock of crows is known as a homicide.","False","True"
"Mythology","multiple","hard","Who did Hippomenes defeat in a footrace?","Atalanta","Peleus|Theseus|Jason"
"Entertainment: Music","boolean","easy","The music group Daft Punk got their name from a negative review they received.","True","False"
"Science &amp; Nature","multiple","medium","When was the first mammal successfully cloned?","1996","2009|1999|1985"
"Entertainment: Video Games","multiple","medium","The character Wario was first introduced in which game of the Mario video game franchise?","Super Mario Land 2: 6 Golden Coins (1992)","Super Mario Bros. 3 (1988)|Wario Land: Super Mario Land 3 (1994)|Mario Party (1998)"
"Geography","multiple","medium","Bridgetown is the capital of which island country in the Carribean?","Barbados","Cuba|Jamaica&lrm;|Dominica"
"Entertainment: Video Games","multiple","hard","Which Kingdom Hearts game featured the cast of &quot;The World Ends With You&quot;?","Dream Drop Distance","Birth By Sleep|365/2 Days|Re:Chain of Memories"
"General Knowledge","multiple","hard","Which musician has collaborated with American producer Porter Robinson and released the 2016 song &quot;Shelter&quot;?","Madeon","Mat Zo|deadmau5|Zedd"
"Science: Mathematics","multiple","medium","What is the alphanumeric representation of the imaginary number?","i","e|n|x"
"Geography","multiple","hard","Which country is the Taedong River in?","North Korea","South Korea|Japan|China"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In the &quot;Toaru Majutsu no Index&quot; anime, Touma Kamijou is a level 0 esper that has the ability to do what?","Dispell any esper or magical powers","Teleport|Make telepathic communications|Create electricity from his own body"
"Entertainment: Video Games","multiple","easy","Who is the writer of the game &quot;Half-Life&quot;?","Marc Laidlaw","Gabe Newell|Robin Walker|Chet Faliszek"
"General Knowledge","multiple","easy","Which of the following landmarks is not located in New York City?","Lincoln Memorial","Empire State Building|Times Square|Central Park"
"Entertainment: Television","multiple","medium","Alan Reed is known for providing the voice of which character?","Fred Flintstone","Bugs Bunny|Fangface|G.I. Joe"
"General Knowledge","boolean","easy","Pluto is a planet.","False","True"
"Entertainment: Music","multiple","medium","What is the name of the second studio album released by American rapper Post Malone in 2018?","Beerbongs &amp; Bentleys","Takin&#039; Shots|Rockstar|Better Now"
"Geography","boolean","medium","Antarctica is the largest desert in the world.","True","False"
"Entertainment: Video Games","multiple","hard","In which video game did Michael Fassbender star?","Fable 3","Call of Duty: Modern Warfare|Assassin&#039;s Creed 3|Red Dead Redemption"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","In &quot;A Certain Scientific Railgun&quot;, how many &quot;sisters&quot; did Accelerator have to kill to achieve the rumored level 6?","20,000","128|10,000|5,000"
"Entertainment: Video Games","boolean","easy","In the game &quot;Subnautica&quot;, a &quot;Spadefish&quot; will attack you.","False","True"
"History","boolean","easy","The United States of America was the first country to launch a man into space.","False","True"
"Science: Mathematics","multiple","hard","The French mathematician &Eacute;variste Galois is primarily known for his work in which?","Galois Theory","Galois&#039; Continued Fractions|Galois&#039; Method for PDE&#039;s |Abelian Integration"
"General Knowledge","boolean","easy","The color orange is named after the fruit.","True","False"
"History","multiple","medium","Who tutored Alexander the Great?","Aristotle","Socrates|Plato|King Philip"
"Entertainment: Video Games","multiple","medium","In the 2015 RPG &quot;Undertale&quot;, which character do you first encounter after falling down into the underground?","Flowey","Toriel|Sans|Papyrus"
"Entertainment: Music","multiple","easy","How many studio albums have the duo Daft Punk released?","4","1|5|2"
"Geography","boolean","easy","Nova Scotia is on the east coast of Canada.","True","False"
"Entertainment: Music","multiple","medium","What was the name of the Wu-Tang Clan album Martin Shkreli bought for $2 million dollars?","Once Upon a Time in Shaolin","A Better Tomorrow|8 Diagrams|The Saga Continues"
"Entertainment: Video Games","multiple","easy","Who is the main character in &quot;The Stanley Parable&quot;?","Stanley","The Adventure Line|The Narrator|The Boss"
"General Knowledge","multiple","hard","How long did it take the motorized window washers of the original World Trade Center to clean the entire exterior of the building?","1 Month","3 Weeks|1 Week|2 Months"
"Science &amp; Nature","boolean","medium","A person can get sunburned on a cloudy day.","True","False"
"General Knowledge","multiple","hard","Which of the following languages does NOT use gender as a part of its grammar?","Turkish","German|Danish|Polish"
"Entertainment: Video Games","multiple","easy","What was Frank West&#039;s job in &quot;Dead Rising&quot;?","Photojournalist","Janitor|Chef|Taxi Driver"
"Entertainment: Video Games","multiple","medium","In the &quot;Portal&quot; series, who was Cave Johnson&#039;s personal assistant?","Caroline","Heather|Melissa|Jane"
"Entertainment: Film","multiple","medium","The killer in the 1981 film &#039;My Bloody Valentine&#039; wears what sort of outfit?","Mining gear","Clown costume|Santa suit|Police uniform"
"Entertainment: Video Games","multiple","medium","In which order do you need to hit some Deku Scrubs to open the first boss door in &quot;Ocarina of Time&quot;?","2, 3, 1","1, 2, 3|1, 3, 2|2, 1, 3"
"Entertainment: Books","multiple","hard","What is Ron Weasley&#039;s middle name?","Bilius","Arthur|John|Dominic"
"Entertainment: Comics","multiple","hard","Which of the following rings from the DC Comics&#039; &quot;Lantern Corps&quot; are classified as Parasitic?","Indigo (Compassion)","Green (Willpower)|White (Life)|Yellow (Fear)"
"Science: Gadgets","boolean","easy","Microphones can be used not only to pick up sound, but also to project sound similar to a speaker.","True","False"
"Entertainment: Music","multiple","medium","Which of these artists has NOT been a member of dancehall group Major Lazer?","Skrillex","Diplo|Jillionaire|Walshy Fire"
"Geography","multiple","easy","What is the nickname for the US state Delaware?","The First State","The Fiftieth State|The Second State|The Sixteenth State"
"Science: Computers","multiple","medium","Which programming language was developed by Sun Microsystems in 1995?","Java","Python|Solaris OS|C++"
"General Knowledge","multiple","hard","Electronic music producer Kygo&#039;s popularity skyrocketed after a certain remix. Which song did he remix?","Ed Sheeran - I See Fire","Marvin Gaye - Sexual Healing|Coldplay - Midnight|a-ha - Take On Me"
"History","multiple","medium","What was the capital of South Vietnam before the Vietnam War?","Saigon","Ho Chi Minh City|Hanoi|Hue"
"Geography","multiple","medium","Gibraltar, located just south of the Iberian peninsula, is a territory of which West Europe country?","United Kingdom","Spain|Portugal|France"
"General Knowledge","multiple","medium","Who is a co-founder of music streaming service Spotify?","Daniel Ek","Sean Parker|Felix Miller|Michael Breidenbruecker"
"Entertainment: Film","boolean","easy","Leonardo DiCaprio won an Oscar for Best Actor in 2004&#039;s &quot;The Aviator&quot;.","False","True"
"Entertainment: Video Games","multiple","easy","What is the hardest possible difficulty in &quot;Deus Ex: Mankind Divided&quot;?","I Never Asked For This","Nightmare|Extreme|Guru"
"Geography","multiple","medium","Which of these countries is the smallest by population?","Norway","Slovakia|Finland|Hong Kong"
"Celebrities","multiple","medium","How much weight did Chris Pratt lose for his role as Star-Lord in &quot;Guardians of the Galaxy&quot;?","60 lbs","30 lbs|50 lbs|70 lbs"
"Science &amp; Nature","multiple","medium","Gannymede is the largest moon of which planet?","Jupiter","Uranus|Neptune|Mars"
"Entertainment: Video Games","multiple","medium","In the beta version of the 1986 game &quot;The Legend of Zelda&quot;, players have the choice between a sword and what other item?","Boomerang ","Spear|Slingshot|Crossbow"
"Entertainment: Books","multiple","medium","In the &quot;Harry Potter&quot; novels, what must a Hogwarts student do to enter the Ravenclaw Common Room?","Answer a riddle","Rhythmically tap barrels with a wand|Speak a password|Knock in sequence"
"Entertainment: Video Games","multiple","easy","Who is able to grab the survivors with his tongue in Left 4 Dead?","Smoker","Jockey|Hunter|Boomer"
"General Knowledge","multiple","medium","A doctor with a PhD is a doctor of what?","Philosophy","Psychology|Phrenology|Physical Therapy"
"Science: Gadgets","boolean","hard","During the  early parts of the Vietnam War the M16 had a record for having bad reliability","True","False"
"History","multiple","hard","When was Finland&#039;s 100th year of being independent?","2017","2016|2018|2015"
"Entertainment: Film","multiple","easy","Who played the female lead in the 1933 film &quot;King Kong&quot;?","Fay Wray","Jean Harlow|Vivien Leigh|Mae West"
"Science: Computers","multiple","medium","Unix Time is defined as the number of seconds that have elapsed since when?","Midnight, January 1, 1970","Midnight, July 4, 1976|Midnight on the creator of Unix&#039;s birthday|Midnight, July 4, 1980"
"Entertainment: Video Games","multiple","medium","Which horror movie had a sequel in the form of a video game released in August 20, 2002?","The Thing","The Evil Dead|Saw|Alien"
"Entertainment: Video Games","multiple","hard","How long are all the cutscenes from Metal Gear Solid 4 (PS3, 2008) combined?","8 hours","4 hours|12 hours|5 hours"
"Entertainment: Video Games","boolean","easy","The shotgun appears in every numbered Resident Evil game.","True","False"
"Sports","multiple","medium","Who was the British professional wrestler Shirley Crabtree better known as?","Big Daddy","Giant Haystacks|Kendo Nagasaki|Masambula"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","In Dragon Ball Z, who was the first character to go Super Saiyan 2?","Gohan","Goku|Vegeta|Trunks"
"Entertainment: Music","multiple","hard","Which Death Grips album is the only one to feature a band member?","No Love Deep Web","Bottomless Pit|The Money Store|The Powers That B"
"History","multiple","medium","What were the first states to break away from Yugoslavia?","Slovenia, Croatia","Macedonia, Montenegro|Slovenia, Macedonia|Montenegro, Slovenia"
"Entertainment: Music","multiple","medium","Which European capital city gives its name to a 1981 song by Ultravox?","Vienna","Berlin|Paris|Brussels"
"Entertainment: Music","multiple","medium","What is the name of the 2016 studio album by the French electronic music duo Justice?","Woman","Randy|Safe and Sound|Pleasure"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","In the 2012 animated film &quot;Wolf Children&quot;, what are the names of the wolf children?","Ame &amp; Yuki","Hana &amp; Yuki|Ame &amp; Hana|Chuck &amp; Anna"
"Entertainment: Video Games","boolean","medium","In the game &quot;Subnautica&quot;, a &quot;Cave Crawler&quot; will attack you.","True","False"
"Science: Computers","multiple","hard","Released in 2001, the first edition of Apple&#039;s Mac OS X operating system (version 10.0) was given what animal code name?","Cheetah","Puma|Tiger|Leopard"
"History","multiple","medium","What year were the Marian Reforms instituted in the Roman Republic?","107 BCE","42 BCE|264 BCE|102 CE"
"Entertainment: Video Games","boolean","medium","Fortnite was originally intended to be a horror game.","True","False"
"Entertainment: Video Games","multiple","easy","Which of the following Pokemon Types was present in the original games, Red and Blue?","Ice","Steel|Dark|Fairy"
"Entertainment: Music","multiple","easy","What is the best selling album of all time from 1976 to 2018?","Thriller","Back in Black|Abbey Road|The Dark Side of the Moon"
"Science: Computers","boolean","medium","Android versions are named in alphabetical order.","True","False"
"Entertainment: Video Games","multiple","medium","Which survivor in Left 4 Dead sacrificed themself to save the other survivors?","Bill","Louis|Francis|Zoey"
"Science &amp; Nature","multiple","hard","What causes the sound of a heartbeat?","Closure of the heart valves","Contraction of the heart chambers|Blood exiting the heart|Relaxation of the heart chambers"
"Science &amp; Nature","multiple","hard","What is the most potent toxin known?","Botulinum toxin","Ricin|Cyanide|Asbestos"
"Science: Mathematics","multiple","easy","How many sides does a heptagon have?","7","8|6|5"
"Entertainment: Television","multiple","easy","Which of the following awards do Matt Stone and Trey Parker NOT have?","Oscar","Emmy|Tony|Grammy"
"Science &amp; Nature","multiple","medium","What term is best associated with Sigmund Freud?","Psychoanalysis","Cognitive-Behavioral Therapy|Theory of Gravity|Dialectical Behavior Therapy"
"Entertainment: Music","multiple","medium","Which of the following guitarists recorded an album as a member of the Red Hot Chili Peppers?","Dave Navarro","Tom Morello |Billy Corgan|Ed O&#039;Brien"
"Entertainment: Film","multiple","medium","Ed Koch, the Mayor of New York in 1984, played himself in which Muppets movie?","The Muppets Take Manhattan","The Great Muppet Caper|The Muppet Christmas Carol|The Muppet Movie"
"Entertainment: Music","boolean","medium","Soulja Boy&#039;s &#039;Crank That&#039; won a Grammy for Best Rap Song in 2007.","False","True"
"Entertainment: Television","multiple","easy","In the cartoon &#039;SpongeBob SquarePants&#039;, what did the acronym E.V.I.L stand for?","Every Villain Is Lemons","Every Villain Is Lemonade|Every Villain Is Limes|Each Villain Is Lemonade"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","What is the last name of Edward and Alphonse in the Fullmetal Alchemist series.","Elric","Ellis|Eliek|Elwood"
"Science &amp; Nature","multiple","easy","Which of these Elements is a metalloid?","Antimony","Tin|Bromine|Rubidium"
"Geography","multiple","medium","How many time zones are in Russia?","11","8|5|2"
"Entertainment: Video Games","multiple","easy","What household item make the characters of &quot;Steins; Gate&quot; travel through time?","Microwave","Computer|Refrigerator|Televison"
"Mythology","multiple","easy","Which figure from Greek mythology traveled to the underworld to return his wife Eurydice to the land of the living?","Orpheus","Hercules|Perseus|Daedalus"
"Geography","multiple","medium","What is the smallest country in South America by area?","Suriname","Brazil|Uruguay|Chile"
"Entertainment: Musicals &amp; Theatres","multiple","medium","Who played Marquis de Lafayette and Thomas Jefferson in the original Broadway run of Hamilton?","Daveed Diggs","Lin-Manuel Miranda|Javier Mu&ntilde;oz|Wayne Brady"
"Geography","multiple","medium","How many countries share a land border with Luxembourg?","3","4|2|5"
"Entertainment: Television","multiple","medium","Who composed the theme song for The Simpsons?","Danny Elfman","John Williams|Hans Zimmer|Ennio Morricone"
"Entertainment: Video Games","multiple","hard","In what year was the game &quot;Eliminator&quot; released?","1998","2000|1999|2001"
"Entertainment: Music","multiple","easy","Who is the lead singer of the British pop rock band Coldplay?","Chris Martin","Jonny Buckland|Guy Berryman|Will Champion"
"Entertainment: Comics","multiple","medium","What is Hellboy&#039;s true name?","Anung Un Rama","Right Hand of Doom|Ogdru Jahad|Azzael"
"Geography","multiple","hard","Llanfair&shy;pwllgwyngyll&shy;gogery&shy;chwyrn&shy;drobwll&shy;llan&shy;tysilio&shy;gogo&shy;goch is located on which Welsh island?","Anglesey","Barry|Bardsey|Caldey"
"Entertainment: Japanese Anime &amp; Manga","multiple","hard","In the anime, Full Metal Panic!, who is Kaname&#039;s best friend?","Kyoko Tokiwa","Melissa Mao|Ren Mikihara|Teletha &quot;Tessa&quot; Testarossa"
"Entertainment: Film","multiple","hard","In the &quot;Jurassic Park&quot; universe, what was the first dinosaur cloned by InGen in 1986?","Velociraptor","Triceratops|Troodon|Brachiosaurus"
"Entertainment: Television","multiple","medium","Pat Cashman, the announcer for Super Smash Brothers: Brawl, also featured prominently in what famous TV show?","Bill Nye the Science Guy","The Muppet Show|Scooby-Doo|Seinfeld"
"Entertainment: Video Games","multiple","medium","Which of these blocks in &quot;Minecraft&quot; has the lowest blast resistance?","Sand","End Stone|Water|Wood Planks"
"History","multiple","hard","What year was the United States Declaration of Independence signed?","1776","1775|1774|1777"
"General Knowledge","multiple","easy","When someone is cowardly, they are said to have what color belly?","Yellow","Green|Red|Blue"
"Science &amp; Nature","boolean","easy","Igneous rocks are formed by excessive heat and pressure.","False","True"
"Mythology","boolean","hard","Ska&eth;i is the Norse Goddess of skiing, mountains, winter and bowhunting.","True","False"
"Entertainment: Television","multiple","hard","Which of these voices wasn&#039;t a choice for the House AI in &quot;The Simpsons Treehouse of Horror&quot; short, House of Whacks?","George Clooney","Matthew Perry|Dennis Miller|Pierce Brosnan"
"Sports","multiple","medium","A stimpmeter measures the speed of a ball over what surface?","Golf Putting Green"," Football Pitch|Cricket Outfield|Pinball Table"
"Entertainment: Music","multiple","hard","Which member of the Wu-Tang Clan had only one verse in their debut album Enter the Wu-Tang (36 Chambers)?","Masta Killa","Method Man|Inspectah Deck|GZA"
"Science &amp; Nature","boolean","easy","Celiac Disease is a disease that effects the heart, causing those effected to be unable to eat meat.","False","True"
"History","multiple","hard","Which of the following physicists did NOT work on the Manhattan project?","Murray Gell-Mann","Richard Feynman|J. Robert Oppenheimer|John Von-Neumann"
"Entertainment: Video Games","multiple","medium","In &quot;World of Warcraft,&quot; what dragon appears in the human guise of Lord Victor Nefarius?","Nefarian","Nefarius|Neltharion|Nefaran"
"Entertainment: Video Games","multiple","medium","The original mascot of the popular Nintendo game, &quot;Splatoon&quot; was going to be...","Mario","Inklings|Octolings|Zelda"
"Art","multiple","easy","Who painted &quot;Swans Reflecting Elephants&quot;, &quot;Sleep&quot;, and &quot;The Persistence of Memory&quot;?","Salvador Dali","Jackson Pollock|Vincent van Gogh|Edgar Degas"
"Mythology","multiple","medium","Who was the Roman god of fire?","Vulcan","Apollo|Jupiter|Mercury"
"General Knowledge","multiple","medium","What is the name given to Indian food cooked over charcoal in a clay oven?","Tandoori","Biryani|Pani puri|Tiki masala"
"History","multiple","easy","The collapse of the Soviet Union took place in which year?","1991","1992|1891|1990"
"Entertainment: Musicals &amp; Theatres","multiple","easy","Who wrote the award winning musical &quot;In The Heights&quot;?","Lin-Manuel Miranda","Steven Sondheim|Francis Scott Key|John Phillips Sousa"
"Science &amp; Nature","multiple","hard","In the Scoville scale, what is the hottest chemical?","Resiniferatoxin","Capsaicin|Dihydrocapsaicin|Tinyatoxin"
"General Knowledge","multiple","easy","The drug cartel run by Pablo Escobar originated in which South American city?","Medell&iacute;n","Bogot&aacute;|Quito|Cali"
"Geography","multiple","hard","Which of these is NOT a city in India?","Islamabad","Hyderabad|Ahmedabad|Ghaziabad"
"Entertainment: Video Games","multiple","hard","Which game in the &quot;Monster Hunter&quot; series introduced the monster &quot;Gobul&quot;?","Monster Hunter Tri","Monster Hunter Freedom Unite|Monster Hunter Frontier|Monster Hunter Generations"
"Sports","multiple","hard","The AHL affiliate team of the Boston Bruins is named what?","Providence Bruins","New Haven Bruins|Cambridge Bruins|Hartford Bruins"
"Science &amp; Nature","multiple","medium","What is the scientific term for &#039;taste&#039;?","Gustatory Perception","Olfaction|Somatosensation|Auditory Perception"
"Science: Mathematics","multiple","easy","What is the correct order of operations for solving equations?","Parentheses, Exponents, Multiplication, Division, Addition, Subtraction","Addition, Multiplication, Division, Subtraction, Addition, Parentheses|Parentheses, Exponents, Addition, Substraction, Multiplication, Division|The order in which the operations are written."
"Entertainment: Video Games","multiple","medium","Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?","An exclamation point","A question mark|The letter B|Nothing"
"General Knowledge","multiple","hard","If someone said &quot;you are olid&quot;, what would they mean?","You smell extremely unpleasant.","You are out of shape/weak.|Your appearance is repulsive.|You are incomprehensible/an idiot."
"Entertainment: Film","multiple","medium","Which stand-up comedian voiced the talking parrot &quot;Iago&quot; in Disney&#039;s 1992 adaptation of Aladdin?","Gilbert Gottfried","Robin Williams|Pauly Shore|Jonathan Freeman"
"Entertainment: Film","multiple","medium","In The Lord of the Rings: The Fellowship of the Ring, which one of the following characters from the book was left out of the film?","Tom Bombadil","Strider|Barliman Butterbur|Celeborn"
"Vehicles","multiple","medium","Which car brand does NOT belong to General Motors?","Ford","Buick|Cadillac|Chevrolet"
"Entertainment: Video Games","boolean","easy","The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.","False","True"
"Entertainment: Video Games","multiple","hard","When was Steam first released?","2003","2004|2011|2007"
"Entertainment: Film","multiple","medium","In the 1979 British film &quot;Quadrophenia&quot; what is the name of the seaside city the mods are visiting?","Brighton","Eastbourne|Mousehole|Bridlington"
"Entertainment: Video Games","multiple","medium","What is the name of the machine that fails and essentially dooms mankind in the beginning of the first Half-Life game?","Anti-mass spectrometer","Oscillation generator|Dark fusion reactor|Dark fusion resonator"
"Entertainment: Video Games","multiple","easy","Which Pokemon generation did the fan-named &quot;Masuda Method&quot; first appear in? ","Diamond/Pearl","Ruby/Sapphire|Black/White|X/Y"
"History","multiple","easy","What year did World War I begin?","1914","1905|1919|1925"
"Entertainment: Video Games","multiple","hard","In Super Smash Bros. for Nintendo 3DS and Nintendo Wii U, who was the sixth fighter to be added to the game post-launch?","Corrin","Cloud|Bayonnetta|Ryu"
"Science: Gadgets","multiple","medium","Who patented a steam engine that produced continuous rotary motion?","James Watt","Nikola Tesla|Albert Einstein|Alessandro Volta"
"Entertainment: Video Games","multiple","hard","In &quot;Pok&eacute;mon Sun and Moon&quot;, Team Skull took over which town?","Po Town","Heahea City|Tapu Village|Iki Town"
"Politics","boolean","hard","Nazi Germany surrendered on Harry Truman&#039;s birthday while he was president.","True","False"
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","Who is the true moon princess in Sailor Moon?","Sailor Moon","Sailor Venus|Sailor Mars|Sailor Jupiter"
"Entertainment: Video Games","boolean","easy","The game &quot;Jetpack Joyride&quot; was created by &quot;Redbrick Studios&quot;.","False","True"
"Geography","multiple","medium","The towns of Brugelette, Arlon and Ath are located in which country?","Belgium","Andorra|France|Luxembourg"
"Entertainment: Video Games","multiple","medium","How many normal endings are there in Cry Of Fear&#039;s campaign mode?","4","5|3|6"
"Entertainment: Music","multiple","easy","What is the frontman&#039;s name of the metal band Megadeth?","Dave Mustaine","Rob Halford|Vince Neil|James Hetfield"
"Entertainment: Music","multiple","medium","Cryoshell, known for &quot;Creeping in My Soul&quot; did the advertising music for what Lego Theme?","Bionicle","Hero Factory|Ben 10 Alien Force|Star Wars"
"Entertainment: Film","multiple","easy","What historical time period was the center of the Assassin&rsquo;s Creed movie (2016)?","Spanish Inquisition","Victorian England|French Revolution|Colonial America"
"Entertainment: Video Games","multiple","medium","In the 2000 video game &quot;Crimson Skies,&quot; what was the name of the protagonists&#039; zeppelin?","Pandora","Helios|Icarus|Orion"
"Entertainment: Video Games","multiple","medium","Which was the first &quot;Call Of Duty: Zombies&quot; map to introduce the &quot;Wunderwaffe DG-2&quot;?","Shi No Numa","Tranzit|Kino Der Toten|Der Riese"
"Entertainment: Music","multiple","hard","What is the English title of the vaporwave track &quot;リサフランク420 / 現代のコンピュー&quot; by Macintosh Plus (Vektroid)?","Lisa Frank 420 / Modern Computing","Smoke Weed 420 / Everyday|Make Your Move 420 / My Mind|It&#039;s All In Your Head 420 / Understand"
"Entertainment: Video Games","multiple","hard","How many total monsters appear in Monster Hunter Generations?","105","100|98|73"
"Entertainment: Television","multiple","easy","Which Star Trek race advances itself through assimilation?","Borg","Vulcan|Betazoid|Klingon"
"Geography","multiple","medium","What is the capital of Vietnam?","Hanoi","Da Nang|Hai Phong|Ho Chi Minh City"
"Entertainment: Video Games","multiple","easy","The games Cry of Fear, Natural Selection and Counter-Strike were originally mods for what video game?","Half-Life","Warcraft III|Arma 2|Doom"
"History","multiple","easy","Abolitionist John Brown raided the arsenal in which Virginia Town?","Harper&#039;s Ferry","Richmond|Harrisonburg|Martinsburg"
"History","boolean","medium","Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ","True","False"
"Entertainment: Video Games","multiple","medium","In Super Smash Bros. Ultimate, which of the following pair of characters are NOT considered &quot;Echo Fighters&quot;?","Link &amp; Young Link","Marth &amp; Lucina|Richter &amp; Simon|Peach &amp; Daisy"
"Geography","multiple","easy","Vatican City, the smallest country in the world, is fully enclosed by which country?","Italy","France|Spain|Germany"
"Entertainment: Cartoon &amp; Animations","boolean","hard","The first ever episode of Family Guy, &quot;Death Has A Shadow,&quot; aired on January 1st, 2002.","False","True"
"History","multiple","hard","How many women joined the United States Armed Services during World War II?","350,000","225,000|100,000|500,000"
"General Knowledge","boolean","medium","&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.","False","True"
"Science: Computers","multiple","medium","What was the first commerically available computer processor?","Intel 4004","Intel 486SX|TMS 1000|AMD AM386"
"Entertainment: Video Games","multiple","hard","What was the world&#039;s first video game?","Draughts","Spacewar!|Pong|Space Travel"
"Entertainment: Television","multiple","medium","In the show &quot;The Office&quot; who does Michael Scott eventually end up with?","Holly Flax","Angela Martin|Jan Levinson|Pam Beesly"
"History","multiple","hard","In 1547 who became the 1st Tsar of Russia","Ivan the Terrible","Alexis of Russia|Mikhail Romanov|Peter the Great"
"Entertainment: Video Games","boolean","medium","The first PlayStation console was released in the USA on December 3rd, 1994.","False","True"
"Entertainment: Video Games","multiple","easy","Rincewind from the 1995 Discworld game was voiced by which member of Monty Python?","Eric Idle","John Cleese|Terry Gilliam|Michael Palin"
"Entertainment: Japanese Anime &amp; Manga","multiple","medium","The character Plum from &quot;No Game No Life&quot; is of what race?","Dhampir","Fl&uuml;gel|Imanity|Seiren"
"Entertainment: Video Games","multiple","easy","Who is the last boss in Night In The Woods&#039; Demontower minigame?","The Blood Thief","Mega Hairball |King Skellie |Krampus "
"Entertainment: Japanese Anime &amp; Manga","multiple","easy","In &quot;Fairy Tail&quot;, what is the nickname of Natsu Dragneel?","The Salamander","The Dragon Slayer|The Dragon|The Demon"
"History","boolean","easy","The United States of America declared their independence from the British Empire on July 4th, 1776.","True","False"
"Entertainment: Musicals &amp; Theatres","multiple","medium","The Andrew Lloyd Webber musical &quot;Cats&quot; is based off a book of poems written by which author?","T.S. Elliot","Andrew Lloyd Webber|Emily Dickenson|Robert Frost"
"Science &amp; Nature","multiple","hard","The word &quot;science&quot; stems from the word &quot;scire&quot; meaning what?","To know","To measure|To live|To count"
"Entertainment: Music","multiple","hard","What is the name of the 2016 mixtape released by Venezuelan electronic producer Arca?","Entra&ntilde;as","&amp;&amp;&amp;&amp;&amp;&amp;|Sheep|Xen"
"Science &amp; Nature","multiple","hard","Folic acid is the synthetic form of which vitamin?","Vitamin B","Vitamin A|Vitamin C|Vitamin D"
"Geography","multiple","medium","The land mass of modern day Turkey is called what?","Anatolia","Ismuth of Ottoma|Ottoma|Ismuth of Anatolia"
"Entertainment: Video Games","multiple","hard","How many people can you recruit in the game Suikoden in a single playthrough?","107","108|93|96"
"History","multiple","easy","Which of the following was Brazil was a former colony under?","Portugal","Spain|The Netherlands|France"
"Entertainment: Comics","multiple","medium","Who created Ultron of Earth-616?","Henry Pym","Amadeus Cho|Tony Stark|Reed Richards"
"Entertainment: Video Games","multiple","easy","Which character was introduced to the Super Smash Bros franchise in Super Smash Bros Melee?","Sheik","Samus|Lucas|Mega Man"
"Entertainment: Video Games","multiple","medium","In Skylanders Giants, why was Zaps&#039; Wow Pow named &quot;For Riley&quot; ?","As a tribute to a fan who passed away","As a reference to a film|After one of the writers of the game|After a voice actor"
"Science: Computers","multiple","hard","Which of the following is the oldest of these computers by release date?","TRS-80","Commodore 64|ZX Spectrum|Apple 3"
"Vehicles","boolean","hard","There is a Rolls-Royce model called the &#039;Spectre&#039;","False","True"
"Animals","multiple","medium","What is the name of the family that the domestic cat is a member of?","Felidae","Felinae|Felis|Cat"
"Entertainment: Books","multiple","medium","What is the name of Eragon&#039;s dragon in &quot;Eragon&quot;?","Saphira","Glaedr|Thorn|Arya"
"History","multiple","medium","During what war did the &quot;Cuban Missile Crisis&quot; occur?","Cold War","World War I|World War II|Revolutionary War"
"Entertainment: Video Games","multiple","easy","Rocket League is a game which features..","Cars","Helicopters|Planes|Submarines"
